Sample in Buffer,Sample in Window,TRIGGER,SPI_CLK_OBUF,State_copy[8:0],SPI_RESET_OBUF,SPI_MOSI_OBUF,SPI_MISO_IBUF,data_input[7:0],data_output[7:0],rw_flag[1:0],SPI_CS_OBUF,TrigerEvent,SPI_gen_CLK
680,680,0,0,56,1,0,1,00,00,1,0,1,1
681,681,0,0,56,1,0,1,00,00,1,0,1,0
682,682,0,1,57,1,0,1,00,00,1,0,1,1
683,683,0,1,57,1,0,1,00,00,1,0,1,0
684,684,0,1,58,1,0,1,00,00,1,0,1,1
685,685,0,1,58,1,0,1,00,00,1,0,1,0
686,686,0,0,59,1,0,1,00,00,1,0,1,1
687,687,0,0,59,1,0,1,00,00,1,0,1,0
688,688,0,0,60,1,0,1,00,00,1,0,1,1
689,689,0,0,60,1,0,1,00,00,1,0,1,0
690,690,0,1,61,1,0,1,00,00,1,0,1,1
691,691,0,1,61,1,0,1,00,00,1,0,1,0
692,692,0,1,62,1,0,1,00,00,1,0,1,1
693,693,0,1,62,1,0,1,00,00,1,0,1,0
694,694,0,0,63,1,0,1,00,00,1,0,1,1
695,695,0,0,63,1,0,1,00,00,1,0,1,0
696,696,0,0,64,1,0,1,00,00,1,0,1,1
697,697,0,0,64,1,0,1,00,00,1,0,1,0
698,698,0,1,65,1,0,1,00,00,1,0,1,1
699,699,0,1,65,1,0,1,00,00,1,0,1,0
700,700,0,1,66,1,0,1,00,00,1,0,1,1
701,701,0,1,66,1,0,1,00,00,1,0,1,0
702,702,0,0,67,1,0,1,00,00,1,0,1,1
703,703,0,0,67,1,0,1,00,00,1,0,1,0
704,704,0,0,68,1,0,1,00,00,1,0,1,1
705,705,0,0,68,1,0,1,00,00,1,0,1,0
706,706,0,0,69,1,0,1,00,00,1,1,1,1
707,707,0,0,69,1,0,1,00,00,1,1,1,0
708,708,0,0,70,1,0,1,00,00,1,1,1,1
709,709,0,0,70,1,0,1,00,00,1,1,1,0
710,710,0,0,0,1,0,1,00,00,1,1,1,1
711,711,0,0,0,1,0,1,00,00,1,1,1,0
712,712,0,0,1,1,0,1,00,00,1,1,1,1
713,713,0,0,1,1,0,1,00,00,1,1,1,0
714,714,0,0,2,1,0,1,00,00,1,1,1,1
715,715,0,0,2,1,0,1,00,00,1,1,1,0
716,716,0,0,3,1,0,1,00,00,1,0,1,1
717,717,0,0,3,1,0,1,00,00,1,0,1,0
718,718,0,0,4,1,0,1,00,00,1,0,1,1
719,719,0,0,4,1,0,1,00,00,1,0,1,0
720,720,0,1,5,1,0,1,00,00,1,0,1,1
721,721,0,1,5,1,0,1,00,00,1,0,1,0
722,722,0,1,6,1,0,1,00,00,1,0,1,1
723,723,0,1,6,1,0,1,00,00,1,0,1,0
724,724,0,0,7,1,0,1,00,00,1,0,1,1
725,725,0,0,7,1,0,1,00,00,1,0,1,0
726,726,0,0,8,1,0,1,00,00,1,0,1,1
727,727,0,0,8,1,0,1,00,00,1,0,1,0
728,728,0,1,9,1,0,1,00,00,1,0,1,1
729,729,0,1,9,1,0,1,00,00,1,0,1,0
730,730,0,1,10,1,0,1,00,00,1,0,1,1
731,731,0,1,10,1,0,1,00,00,1,0,1,0
732,732,0,0,11,1,0,1,00,00,1,0,1,1
733,733,0,0,11,1,0,1,00,00,1,0,1,0
734,734,0,0,12,1,0,1,00,00,1,0,1,1
735,735,0,0,12,1,0,1,00,00,1,0,1,0
736,736,0,1,13,1,0,1,00,00,1,0,1,1
737,737,0,1,13,1,0,1,00,00,1,0,1,0
738,738,0,1,14,1,0,1,00,00,1,0,1,1
739,739,0,1,14,1,0,1,00,00,1,0,1,0
740,740,0,0,15,1,1,1,00,00,1,0,1,1
